gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,4,322.726,E13;E26;E41;E43,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i000,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i000\tripinfo.xml
1,1,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i001,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i001\tripinfo.xml
1,2,3,302.942,E17;E33;E34,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i002,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i002\tripinfo.xml
1,3,2,309.974,E26;E3,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i003,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i003\tripinfo.xml
1,4,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i004,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i004\tripinfo.xml
1,5,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i005,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i005\tripinfo.xml
1,6,1,315.812,E36,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i006,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i006\tripinfo.xml
1,7,4,331.797,E3;E32;E34;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i007,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i007\tripinfo.xml
1,8,3,273.873,E37;E41;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i008,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i008\tripinfo.xml
1,9,2,315.5,E3;E43,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i009,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i009\tripinfo.xml
1,10,2,289.592,E15;E41,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i010,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i010\tripinfo.xml
1,11,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i011,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i011\tripinfo.xml
1,12,2,300.822,E38;E4,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i012,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i012\tripinfo.xml
1,13,3,291.704,E17;E33;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i013,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i013\tripinfo.xml
1,14,1,297.692,E5,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i014,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i014\tripinfo.xml
1,15,3,336.155,E22;E3;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i015,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i015\tripinfo.xml
1,16,4,346.008,E22;E34;E37;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i016,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i016\tripinfo.xml
1,17,4,284.11,E22;E27;E38;E5,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i017,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i017\tripinfo.xml
1,18,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i018,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i018\tripinfo.xml
1,19,1,311.341,E3,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i019,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i019\tripinfo.xml
1,20,4,293.207,E3;E31;E38;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i020,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i020\tripinfo.xml
1,21,4,289.053,E15;E27;E3;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i021,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i021\tripinfo.xml
1,22,2,298.623,E39;E4,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i022,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i022\tripinfo.xml
1,23,4,321.739,E20;E24;E26;E31,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i023,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g001_i023\tripinfo.xml
2,0,3,273.873,E37;E41;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i000,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i000\tripinfo.xml
2,1,4,311.339,E15;E18;E3;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i001,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i001\tripinfo.xml
2,2,4,318.476,E22;E34;E5;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i002,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i002\tripinfo.xml
2,3,4,331.457,E15;E22;E33;E5,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i003,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i003\tripinfo.xml
2,4,4,338.802,E15;E17;E29;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i004,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i004\tripinfo.xml
2,5,4,273.263,E27;E35;E38;E5,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i005,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i005\tripinfo.xml
2,6,4,338.903,E22;E27;E6;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i006,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_rev_seed6\g002_i006\tripinfo.xml
