gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,1,286.702,E42,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i000,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i000\tripinfo.xml
1,1,2,323.256,E42;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i001,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i001\tripinfo.xml
1,2,3,295.686,E1;E14;E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i002,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i002\tripinfo.xml
1,3,1,297.978,E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i003,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i003\tripinfo.xml
1,4,1,297.978,E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i004,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i004\tripinfo.xml
1,5,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i005,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i005\tripinfo.xml
1,6,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i006,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i006\tripinfo.xml
1,7,1,297.978,E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i007,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i007\tripinfo.xml
1,8,1,297.978,E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i008,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i008\tripinfo.xml
1,9,4,355.855,E17;E18;E29;E32,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i009,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i009\tripinfo.xml
1,10,1,280.515,E21,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i010,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i010\tripinfo.xml
1,11,3,296.712,E14;E16;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i011,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i011\tripinfo.xml
1,12,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i012,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i012\tripinfo.xml
1,13,3,293.845,E10;E14;E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i013,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i013\tripinfo.xml
1,14,3,301.571,E13;E15;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i014,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i014\tripinfo.xml
1,15,3,293.845,E10;E14;E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i015,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i015\tripinfo.xml
1,16,3,284.937,E16;E42;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i016,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i016\tripinfo.xml
1,17,3,292.695,E1;E16;E4,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i017,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i017\tripinfo.xml
1,18,4,293.617,E14;E15;E16;E6,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i018,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i018\tripinfo.xml
1,19,1,310.273,E37,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i019,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i019\tripinfo.xml
1,20,3,286.304,E10;E20;E24,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i020,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i020\tripinfo.xml
1,21,0,315.812,,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i021,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i021\tripinfo.xml
1,22,3,287.078,E1;E16;E36,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i022,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i022\tripinfo.xml
1,23,1,307.786,E35,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i023,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g001_i023\tripinfo.xml
2,0,1,280.515,E21,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i000,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i000\tripinfo.xml
2,1,4,291.647,E1;E13;E14;E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i001,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i001\tripinfo.xml
2,2,4,287.695,E11;E13;E16;E36,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i002,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i002\tripinfo.xml
2,3,4,302.148,E15;E16;E17;E35,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i003,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i003\tripinfo.xml
2,4,4,267.842,E10;E16;E21;E27,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i004,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i004\tripinfo.xml
2,5,4,287.477,E1;E16;E33;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i005,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i005\tripinfo.xml
2,6,4,280.636,E14;E16;E32;E6,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i006,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i006\tripinfo.xml
2,7,4,295.664,E10;E11;E21;E6,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i007,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i007\tripinfo.xml
2,8,4,309.555,E14;E27;E42;E43,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i008,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i008\tripinfo.xml
2,9,4,291.515,E16;E19;E21;E39,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i009,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i009\tripinfo.xml
2,10,4,318.873,E16;E29;E7;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i010,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i010\tripinfo.xml
2,11,4,303.438,E10;E13;E21;E38,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i011,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i011\tripinfo.xml
2,12,4,298.216,E10;E11;E14;E16,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i012,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i012\tripinfo.xml
2,13,4,303.213,E10;E20;E25;E30,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i013,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i013\tripinfo.xml
2,14,4,283.425,E24;E35;E42;E6,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i014,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i014\tripinfo.xml
2,15,4,303.393,E14;E16;E39;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i015,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i015\tripinfo.xml
2,16,4,283.721,E14;E21;E24;E30,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i016,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i016\tripinfo.xml
2,17,4,299.646,E14;E39;E6;E8,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i017,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i017\tripinfo.xml
2,18,4,269.969,E16;E20;E6;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i018,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i018\tripinfo.xml
2,19,4,296.712,E14;E16;E19;E7,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i019,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i019\tripinfo.xml
2,20,4,295.604,E12;E14;E15;E25,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i020,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\heuristic_seed8\g002_i020\tripinfo.xml
