eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,2,311.104000,1,311.104000,5.0000,"E18,E34",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0000
2,2,325.248000,0,311.104000,5.0000,"E13,E34",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0001
3,2,327.639000,0,311.104000,4.9554,"E34,E43",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0002
4,3,313.952000,1,311.104000,4.9111,"E18,E34,E37",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0003
5,3,315.218000,1,311.104000,4.8673,"E18,E37,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0004
6,2,299.597000,1,299.597000,4.8239,"E37,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0005
7,2,314.836000,0,299.597000,4.7808,"E7,E8",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0006
8,3,299.597000,1,299.597000,4.7381,"E12,E37,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0007
9,3,315.886000,0,299.597000,4.6958,"E11,E12,E37",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0008
10,3,304.025000,0,299.597000,4.6539,"E36,E37,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0009
11,2,303.740000,0,299.597000,4.6124,"E12,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0010
12,3,286.936000,1,286.936000,4.5712,"E12,E16,E37",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0011
13,2,298.300000,0,286.936000,4.5304,"E12,E16",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0012
14,3,296.122000,1,286.936000,4.4900,"E12,E16,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0013
15,3,304.865000,0,286.936000,4.4499,"E12,E24,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0014
16,4,282.225000,1,282.225000,4.4102,"E12,E16,E31,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0015
17,3,295.592000,0,282.225000,4.3708,"E12,E16,E31",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0016
18,4,313.206000,0,282.225000,4.3318,"E12,E22,E31,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0017
19,4,293.245000,0,282.225000,4.2931,"E12,E16,E31,E5",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0018
20,4,301.663000,0,282.225000,4.2168,"E12,E16,E18,E31",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0019
21,4,281.937000,1,281.937000,4.1792,"E12,E16,E20,E31",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0020
22,3,281.937000,1,281.937000,4.1419,"E16,E20,E31",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0021
23,3,269.164000,1,269.164000,4.1049,"E16,E20,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0022
24,3,295.475000,0,269.164000,4.0683,"E16,E20,E32",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0023
25,4,279.516000,1,269.164000,4.0319,"E16,E20,E4,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0024
26,4,298.955000,0,269.164000,3.9960,"E16,E20,E29,E4",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0025
27,4,269.164000,1,269.164000,3.9603,"E12,E16,E20,E7",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0026
28,4,268.504000,1,268.504000,3.8899,"E10,E12,E16,E20",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0027
29,4,276.015000,0,268.504000,3.8552,"E12,E16,E20,E23",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0028
30,4,301.425000,0,268.504000,3.8208,"E10,E16,E20,E31",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0029
31,3,269.482000,0,268.504000,3.7867,"E10,E12,E16",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0030
32,3,279.992000,0,268.504000,3.7529,"E12,E16,E20",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0031
33,3,282.231000,0,268.504000,3.7194,"E10,E12,E20",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0032
34,4,291.029000,0,268.504000,3.6533,"E10,E16,E20,E37",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0033
35,4,315.179000,0,268.504000,3.6207,"E10,E16,E20,E22",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\sa_seed7\e0034
