gen,best_pred,mean_pred
1,-277.484773,-299.774159
2,-277.484773,-296.729667
3,-277.484773,-297.766230
4,-277.484773,-297.111581
5,-277.484773,-295.212272
6,-277.484773,-297.018002
7,-275.971978,-295.295253
8,-275.971978,-296.554438
9,-275.971978,-295.886363
10,-275.971978,-295.973329
11,-275.971978,-296.228540
12,-275.971978,-295.024472
13,-275.971978,-297.685719
14,-275.971978,-297.650284
15,-275.971978,-296.822164
16,-275.971978,-296.003984
17,-275.971978,-294.835198
18,-275.971978,-298.386465
19,-275.971978,-296.886751
20,-275.971978,-297.190850
21,-275.971978,-295.630939
22,-275.971978,-297.964696
23,-275.971978,-296.252831
24,-275.971978,-295.273821
25,-275.971978,-296.267712
26,-274.047811,-294.834240
27,-274.047811,-295.933739
28,-274.047811,-298.257318
29,-274.047811,-299.604983
30,-274.047811,-298.317492
31,-274.047811,-298.052115
32,-274.047811,-296.742813
33,-274.047811,-299.173804
34,-274.047811,-293.686552
35,-274.047811,-296.770506
36,-274.047811,-291.490416
37,-274.047811,-292.827168
38,-274.047811,-295.764172
39,-274.047811,-292.685970
40,-274.047811,-296.977968
41,-274.047811,-295.665956
42,-274.047811,-295.637683
43,-274.047811,-296.351562
44,-274.047811,-296.258862
45,-274.047811,-293.287586
46,-274.047811,-295.669246
47,-274.047811,-297.370505
48,-274.047811,-296.687775
49,-274.047811,-298.335161
50,-274.047811,-297.192243
51,-274.047811,-301.031727
52,-274.047811,-299.330009
53,-274.047811,-295.438319
54,-274.047811,-295.042314
55,-274.047811,-295.910048
56,-274.047811,-296.556635
57,-274.047811,-297.480175
58,-274.047811,-297.110334
59,-274.047811,-296.005593
60,-274.047811,-293.730244
61,-274.047811,-295.395433
62,-274.047811,-298.887286
63,-274.047811,-302.115438
64,-274.047811,-299.254902
65,-274.047811,-297.341257
66,-274.047811,-297.119218
67,-274.047811,-298.902979
68,-274.047811,-296.367928
69,-274.047811,-296.691043
70,-274.047811,-295.266069
71,-274.047811,-296.089379
72,-274.047811,-297.535953
73,-274.047811,-296.541203
74,-274.047811,-298.470765
75,-274.047811,-298.803390
76,-274.047811,-298.483155
77,-274.047811,-296.548278
78,-274.047811,-297.679406
79,-274.047811,-295.342592
80,-274.047811,-295.214090
81,-274.047811,-293.163070
82,-274.047811,-295.741020
83,-274.047811,-300.143975
84,-274.047811,-297.789653
85,-274.047811,-298.914191
86,-274.047811,-297.649071
87,-274.047811,-296.639125
88,-274.047811,-294.311873
89,-274.047811,-296.894364
90,-274.047811,-295.301900
91,-274.047811,-296.956114
92,-274.047811,-295.059158
93,-274.047811,-294.584562
94,-274.047811,-296.561168
95,-274.047811,-298.628273
96,-274.047811,-297.003484
97,-274.047811,-298.976144
98,-274.047811,-294.383925
99,-274.047811,-296.536032
100,-274.047811,-296.747840
101,-274.047811,-295.880161
102,-274.047811,-296.711002
103,-274.047811,-294.935518
104,-274.047811,-297.133941
105,-274.047811,-293.831717
106,-274.047811,-297.194131
107,-274.047811,-298.585806
108,-274.047811,-298.772681
109,-274.047811,-299.532019
110,-274.047811,-300.761609
111,-274.047811,-297.033257
112,-274.047811,-298.536665
113,-274.047811,-298.331219
114,-274.047811,-295.147975
115,-274.047811,-293.967486
116,-274.047811,-294.940166
117,-274.047811,-295.851098
118,-274.047811,-297.655474
119,-274.047811,-297.211950
120,-274.047811,-300.931814
121,-274.047811,-301.601302
122,-274.047811,-295.165861
123,-274.047811,-292.833410
124,-274.047811,-293.639759
125,-274.047811,-295.263018
126,-274.047811,-295.089623
127,-274.047811,-295.241982
128,-274.047811,-297.501548
129,-274.047811,-296.482981
130,-272.902474,-291.435222
131,-272.902474,-293.403031
132,-272.902474,-294.553525
133,-272.902474,-295.297121
134,-272.902474,-295.006939
135,-272.902474,-293.809934
136,-272.902474,-291.760688
137,-272.902474,-294.993268
138,-272.902474,-295.578768
139,-272.902474,-294.418754
140,-272.902474,-297.023424
141,-272.902474,-295.241258
142,-272.902474,-297.763347
143,-272.902474,-299.806118
144,-272.902474,-297.562476
145,-272.902474,-296.587624
146,-272.902474,-298.079761
147,-272.902474,-293.689858
148,-272.902474,-293.922366
149,-272.902474,-296.432576
150,-272.902474,-294.787840
151,-272.902474,-294.223302
152,-272.902474,-294.991240
153,-272.902474,-293.429303
154,-272.902474,-295.384956
155,-272.902474,-297.141543
156,-272.902474,-297.226745
157,-272.902474,-295.011501
158,-272.902474,-294.901431
159,-272.902474,-296.449049
160,-272.902474,-297.067610
161,-272.902474,-299.410662
162,-272.902474,-301.373561
163,-272.902474,-299.454263
164,-272.902474,-299.892528
165,-272.902474,-296.780379
166,-272.902474,-295.983530
167,-272.902474,-301.115137
168,-272.902474,-298.923839
169,-272.902474,-299.445758
170,-272.902474,-297.968074
171,-272.902474,-297.283398
172,-272.902474,-298.119335
173,-272.902474,-296.041124
174,-272.902474,-299.405152
175,-272.902474,-297.218002
176,-272.902474,-295.489388
177,-272.902474,-299.885064
178,-272.902474,-300.219637
179,-272.902474,-296.116731
180,-272.902474,-295.558165
181,-272.902474,-296.752698
182,-272.902474,-298.133710
183,-272.902474,-296.102713
184,-272.902474,-293.351395
185,-272.902474,-298.073538
