gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,7,526.373,-E11;-E22;-E28;-E35;-E40;-E58;E14,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i000,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i000\tripinfo.xml
1,1,9,553.909,-E14;-E30;-E51;E25;E31;E34;E53;E56;E62,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i001,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i001\tripinfo.xml
1,2,5,504.3065,-E53;E22;E33;E34;E50,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i002,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i002\tripinfo.xml
1,3,4,530.4885,E11;E47;E59;E8,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i003,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i003\tripinfo.xml
1,4,2,541.375,-E30;E16,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i004,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i004\tripinfo.xml
1,5,2,518.552,E30;E6,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i005,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i005\tripinfo.xml
1,6,0,538.6315,,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i006,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i006\tripinfo.xml
1,7,5,526.4025,-E30;-E39;E51;E53;E63,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i007,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i007\tripinfo.xml
1,8,8,528.603,-E51;-E64;E11;E110;E14;E28;E41;E57,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i008,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i008\tripinfo.xml
1,9,7,542.319,-E14;-E30;E30;E33;E34;E52;E58,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i009,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i009\tripinfo.xml
1,10,9,528.7135,-E14;-E15;-E28;-E29;-E30;-E51;E10;E30;E43,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i010,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i010\tripinfo.xml
1,11,1,519.213,E13,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i011,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i011\tripinfo.xml
1,12,5,523.968,-E13;-E40;E34;E45;E58,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i012,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i012\tripinfo.xml
1,13,8,533.8625,-E31;-E32;-E35;-E51;-E53;-E58;-E7;E14,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i013,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i013\tripinfo.xml
1,14,9,547.459,-E38;-E44;-E58;-E63;E14;E23;E27;E39;E64,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i014,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i014\tripinfo.xml
1,15,0,538.6315,,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i015,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i015\tripinfo.xml
1,16,6,546.9265,-E25;-E28;-E30;-E35;E13;E29,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i016,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i016\tripinfo.xml
1,17,2,538.6315,-E43;E21,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i017,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i017\tripinfo.xml
1,18,7,515.6015,-E14;-E22;-E23;E13;E14;E30;E43,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i018,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i018\tripinfo.xml
1,19,6,526.9245,-E23;-E28;-E39;E15;E41;E58,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i019,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i019\tripinfo.xml
1,20,2,531.9535,-E27;E51,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i020,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i020\tripinfo.xml
1,21,2,515.486,-E39;E22,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i021,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i021\tripinfo.xml
1,22,3,538.6315,-E47;E25;E43,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i022,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i022\tripinfo.xml
1,23,0,538.6315,,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i023,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g001_i023\tripinfo.xml
2,0,5,504.3065,-E53;E22;E33;E34;E50,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i000,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i000\tripinfo.xml
2,1,9,528.591,-E13;-E23;-E28;-E43;E13;E19;E30;E53;E62,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i001,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i001\tripinfo.xml
2,2,9,496.0335,-E14;-E22;-E39;-E40;-E53;E110;E14;E34;E43,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i002,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i002\tripinfo.xml
2,3,9,533.65,-E14;-E23;-E51;-E64;-E8;E110;E30;E33;E53,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i003,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i003\tripinfo.xml
2,4,9,513.717,-E19;-E39;-E53;-E8;E110;E14;E34;E53;E59,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i004,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i004\tripinfo.xml
2,5,9,529.959,-E19;-E39;-E53;-E58;E29;E30;E39;E43;E59,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i005,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i005\tripinfo.xml
2,6,9,504.411,-E19;-E29;-E30;-E53;E22;E33;E34;E47;E58,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i006,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i006\tripinfo.xml
2,7,9,539.7505,-E14;-E23;-E39;-E64;E14;E24;E30;E41;E51,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i007,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i007\tripinfo.xml
2,8,9,523.209,-E11;-E23;-E39;-E58;E14;E30;E32;E43;E62,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i008,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i008\tripinfo.xml
2,9,9,527.395,-E20;-E29;E31;E33;E34;E41;E50;E53;E63,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i009,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i009\tripinfo.xml
2,10,9,509.8145,-E20;-E22;-E39;-E43;E16;E22;E30;E58;E6,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i010,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i010\tripinfo.xml
2,11,9,522.2465,-E29;-E51;E22;E31;E32;E33;E34;E43;E51,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i011,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i011\tripinfo.xml
2,12,9,524.089,-E14;-E30;-E35;-E58;E22;E34;E50;E56;E64,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i012,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i012\tripinfo.xml
2,13,9,522.0255,-E43;-E53;-E58;E17;E32;E33;E34;E50;E58,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i013,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i013\tripinfo.xml
2,14,9,514.3475,-E11;-E19;-E27;-E31;-E39;-E40;-E50;E14;E30,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i014,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_rev_seed9\g002_i014\tripinfo.xml
