gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,523.045,E10;E6;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i000,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i000\tripinfo.xml
1,1,5,535.926,-E12;-E45;-E7;-E9;E16,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i001,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i001\tripinfo.xml
1,2,6,541.444,E110;E17;E21;E26;E46;E57,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i002,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i002\tripinfo.xml
1,3,2,540.251,-E6;-E8,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i003,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i003\tripinfo.xml
1,4,3,516.348,-E45;-E63;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i004,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i004\tripinfo.xml
1,5,0,538.6315,,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i005,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i005\tripinfo.xml
1,6,1,539.533,-E17,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i006,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i006\tripinfo.xml
1,7,2,489.4005,-E26;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i007,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i007\tripinfo.xml
1,8,3,542.908,-E17;-E45;-E6,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i008,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i008\tripinfo.xml
1,9,8,534.932,-E16;-E45;-E51;-E7;E10;E57;E6;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i009,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i009\tripinfo.xml
1,10,3,538.1985,-E17;E27;E59,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i010,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i010\tripinfo.xml
1,11,6,491.876,-E16;E10;E26;E57;E59;E8,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i011,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i011\tripinfo.xml
1,12,0,538.6315,,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i012,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i012\tripinfo.xml
1,13,7,540.455,-E16;-E26;-E32;-E44;E10;E25;E26,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i013,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i013\tripinfo.xml
1,14,7,506.699,-E21;-E7;E17;E26;E31;E49;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i014,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i014\tripinfo.xml
1,15,7,504.211,-E12;-E17;-E32;-E9;E10;E16;E25,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i015,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i015\tripinfo.xml
1,16,6,506.7255,-E6;-E7;E25;E26;E46;E6,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i016,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i016\tripinfo.xml
1,17,7,517.233,-E40;-E6;-E9;E10;E16;E46;E6,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i017,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i017\tripinfo.xml
1,18,9,548.336,-E29;E16;E21;E26;E32;E47;E57;E6;E7,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i018,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i018\tripinfo.xml
1,19,3,536.565,-E26;-E6;E26,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i019,D:\PSPS\runs_reviewer\B_k9_3od_x1.0\heuristic_seed8\g001_i019\tripinfo.xml
