eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,6,502.999500,1,502.999500,5.0000,"-E16,-E58,E23,E25,E34,E41",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0000
2,6,522.997500,0,502.999500,5.0000,"-E16,-E58,E25,E34,E41,E45",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0001
3,6,508.289000,1,502.999500,4.9554,"-E16,E23,E25,E34,E41,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0002
4,6,524.359500,0,502.999500,4.9111,"-E16,E23,E34,E41,E49,E9",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0003
5,5,537.461000,0,502.999500,4.8673,"-E16,E23,E25,E34,E41",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0004
6,6,534.945000,0,502.999500,4.8239,"E10,E23,E25,E34,E41,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0005
7,6,510.121500,1,502.999500,4.7808,"-E16,E23,E25,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0006
8,7,514.337000,0,502.999500,4.7381,"-E16,E11,E23,E25,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0007
9,6,516.399500,0,502.999500,4.6958,"-E16,E23,E25,E40,E49,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0008
10,5,510.121500,1,502.999500,4.6539,"-E16,E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0009
11,5,494.377000,1,494.377000,4.6124,"E23,E34,E40,E49,E56",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0010
12,5,522.025000,0,494.377000,4.5712,"E24,E34,E40,E49,E56",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0011
13,5,538.631500,0,494.377000,4.5304,"-E52,E23,E34,E49,E56",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0012
14,5,494.377000,1,494.377000,4.4900,"-E43,E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0013
15,5,509.330500,0,494.377000,4.4499,"-E43,-E52,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0014
16,6,494.377000,1,494.377000,4.4102,"-E23,-E43,E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0015
17,6,527.808500,0,494.377000,4.3708,"-E23,-E43,E110,E23,E34,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0016
18,7,494.377000,1,494.377000,4.3318,"-E23,-E27,-E43,E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0017
19,7,494.377000,1,494.377000,4.2931,"-E23,-E27,E23,E34,E40,E49,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0018
20,7,494.377000,1,494.377000,4.2548,"-E23,-E27,E34,E40,E49,E57,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0019
21,6,494.377000,1,494.377000,4.2168,"-E23,E34,E40,E49,E57,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0020
22,5,494.377000,1,494.377000,4.1792,"-E23,E34,E40,E49,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0021
23,4,538.631500,0,494.377000,4.1419,"-E23,E34,E49,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0022
24,4,499.921000,0,494.377000,4.1049,"-E23,E34,E40,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0023
25,5,502.212000,0,494.377000,4.0683,"-E23,-E8,E40,E49,E58",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0024
26,5,494.377000,1,494.377000,4.0319,"-E15,-E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0025
27,5,497.582500,1,494.377000,3.9960,"-E23,E34,E39,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0026
28,5,515.065500,0,494.377000,3.9603,"-E35,E34,E39,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0027
29,4,527.778500,0,494.377000,3.9249,"-E23,E34,E39,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0028
30,4,494.377000,1,494.377000,3.8899,"-E23,E34,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0029
31,3,494.377000,1,494.377000,3.8552,"-E23,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0030
32,3,543.659500,0,494.377000,3.8208,"-E23,E49,E59",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0031
33,4,525.592500,0,494.377000,3.7867,"-E23,E40,E41,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0032
34,3,538.631500,0,494.377000,3.7529,"-E22,-E23,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0033
35,4,549.774000,0,494.377000,3.7194,"-E23,E40,E49,E59",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0034
36,3,525.234000,0,494.377000,3.6862,"-E53,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0035
37,3,538.631500,0,494.377000,3.6533,"-E23,-E50,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0036
38,3,495.778500,1,494.377000,3.6207,"E27,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0037
