rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.777155,501.517000,6,"-E58,E11,E33,E57,E6,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_000
1,-521.819455,523.519500,9,"-E26,-E30,-E58,E11,E13,E33,E45,E57,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_001
2,-521.860509,538.543000,9,"-E45,E11,E110,E21,E24,E28,E33,E40,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_002
3,-521.884005,490.674500,9,"-E14,-E50,-E58,E11,E13,E27,E30,E40,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_003
4,-521.884375,525.198000,9,"-E14,-E30,-E50,-E58,E23,E40,E45,E49,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_004
5,-521.984042,514.626500,9,"-E14,-E30,-E32,-E50,-E58,E11,E52,E63,E64",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_005
6,-521.988765,503.173000,9,"-E53,-E58,-E64,E33,E45,E52,E57,E63,E7",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_006
7,-521.994011,517.823000,9,"-E15,-E51,-E58,E11,E13,E22,E28,E57,E7",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_007
8,-522.002276,524.553500,9,"-E14,-E29,-E32,-E50,E11,E23,E32,E33,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_008
9,-522.003648,511.862000,9,"-E47,-E50,E11,E13,E24,E33,E46,E52,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed2\verify_009
