gen,best_pred,mean_pred
1,-522.310096,-523.886407
2,-522.310096,-523.961839
3,-522.310096,-523.984690
4,-522.310096,-523.558222
5,-522.310096,-523.873446
6,-522.310096,-524.047084
7,-522.310096,-524.162898
8,-522.310096,-524.015455
9,-522.310096,-523.831653
10,-522.274788,-523.901833
11,-522.274788,-523.879537
12,-522.274788,-524.139643
13,-522.274788,-523.987531
14,-522.274788,-523.774451
15,-522.274788,-523.992574
16,-522.274788,-523.832024
17,-522.244341,-523.530567
18,-522.244341,-523.839740
19,-522.244341,-523.953895
20,-522.244341,-523.978526
21,-522.244341,-523.782336
22,-522.244341,-523.762533
23,-522.244341,-523.862016
24,-521.760659,-523.725178
25,-521.760659,-523.580285
26,-521.760659,-523.373606
27,-521.760659,-523.497253
28,-521.760659,-523.317420
29,-521.760659,-523.691913
30,-521.760659,-523.905320
31,-521.760659,-523.699556
32,-521.760659,-523.617759
33,-521.760659,-523.479226
34,-521.760659,-523.592333
35,-521.760659,-523.442157
36,-521.760659,-523.513773
37,-521.632158,-523.733833
38,-521.632158,-523.729584
39,-521.632158,-523.655092
40,-521.632158,-523.933324
41,-521.632158,-523.679754
42,-521.632158,-523.808578
43,-521.632158,-523.724618
44,-521.632158,-523.817243
45,-521.632158,-523.517434
46,-521.632158,-523.688399
47,-521.632158,-523.850883
48,-521.632158,-523.946019
49,-521.632158,-523.887963
50,-521.632158,-523.904540
51,-521.632158,-523.769830
52,-521.632158,-523.771162
53,-521.632158,-523.820223
54,-521.632158,-524.024689
55,-521.632158,-523.640273
56,-521.632158,-523.840693
57,-521.632158,-523.633167
58,-521.632158,-523.684235
59,-521.632158,-523.778443
60,-521.632158,-524.014442
61,-521.632158,-524.006941
62,-521.632158,-523.727418
63,-521.632158,-523.541561
64,-521.632158,-523.520650
65,-521.632158,-523.619779
66,-521.632158,-523.593082
67,-521.632158,-524.009045
68,-521.632158,-523.965996
69,-521.632158,-524.004285
70,-521.632158,-524.142321
71,-521.632158,-523.916542
72,-521.632158,-524.000092
73,-521.632158,-524.411702
74,-521.632158,-524.142357
75,-521.632158,-524.136962
76,-521.632158,-524.219775
77,-521.632158,-524.009954
78,-521.632158,-524.007430
79,-521.632158,-523.934374
80,-521.632158,-523.695554
81,-521.632158,-523.706323
82,-521.632158,-523.731447
83,-521.632158,-523.571208
84,-521.632158,-523.775836
85,-521.632158,-523.818715
86,-521.632158,-523.856881
87,-521.632158,-523.798331
88,-521.632158,-523.872848
89,-521.632158,-523.891857
90,-521.632158,-523.793505
91,-521.632158,-523.882265
92,-521.632158,-523.618327
93,-521.632158,-523.621484
94,-521.632158,-523.736841
95,-521.632158,-523.812788
96,-521.632158,-523.728313
97,-521.632158,-523.731080
98,-521.632158,-523.653796
99,-521.632158,-523.691967
100,-521.632158,-523.906577
101,-521.632158,-523.705581
102,-521.632158,-523.755429
103,-521.632158,-523.761071
104,-521.632158,-523.584489
105,-521.632158,-523.306690
106,-521.632158,-523.646973
107,-521.632158,-523.814870
108,-521.520402,-523.996067
109,-521.520402,-524.125583
110,-521.520402,-524.020856
111,-521.520402,-523.691068
112,-521.520402,-523.517032
113,-521.520402,-523.742483
114,-521.520402,-523.621251
115,-521.520402,-523.672475
116,-521.520402,-523.602789
117,-521.520402,-523.792503
118,-521.520402,-523.649148
119,-521.520402,-523.637785
120,-521.520402,-523.657288
121,-521.520402,-523.937359
122,-521.520402,-523.833303
123,-521.520402,-523.848211
124,-521.520402,-523.837705
125,-521.520402,-523.746973
126,-521.520402,-523.644218
127,-521.520402,-523.864152
128,-521.520402,-523.685775
129,-521.520402,-523.469703
130,-521.520402,-523.416813
131,-521.520402,-523.523894
132,-521.520402,-523.488427
133,-521.520402,-523.448152
134,-521.520402,-523.852268
135,-521.520402,-523.833563
136,-521.520402,-523.461137
137,-521.520402,-523.714889
138,-521.520402,-523.399451
139,-521.520402,-523.500444
140,-521.520402,-524.048580
141,-521.520402,-524.003943
142,-521.520402,-523.769570
143,-521.520402,-523.614544
144,-521.520402,-523.829256
145,-521.520402,-523.837860
146,-521.520402,-523.653284
147,-521.520402,-523.860735
148,-521.520402,-524.088202
149,-521.520402,-524.029462
150,-521.520402,-523.632235
151,-521.520402,-523.740635
152,-521.520402,-523.523823
153,-521.520402,-523.781065
154,-521.520402,-523.932979
155,-521.520402,-523.966767
156,-521.520402,-523.793564
157,-521.520402,-523.867546
158,-521.520402,-523.880954
159,-521.520402,-523.502514
160,-521.520402,-523.735197
161,-521.387281,-523.619559
162,-521.387281,-523.627200
163,-521.387281,-523.715202
164,-521.387281,-523.480317
165,-521.387281,-523.453877
166,-521.387281,-523.804443
167,-521.387281,-524.076648
168,-521.387281,-523.872060
169,-521.387281,-523.549585
170,-521.387281,-523.542145
171,-521.387281,-523.894203
172,-521.387281,-523.833891
173,-521.387281,-523.746379
174,-521.387281,-523.982774
175,-521.387281,-523.812977
176,-521.387281,-523.895041
177,-521.387281,-523.854364
178,-521.387281,-523.755934
179,-521.387281,-523.926165
180,-521.387281,-523.543688
181,-521.387281,-523.775817
182,-521.387281,-523.541392
183,-521.387281,-523.701089
184,-521.387281,-523.652477
185,-521.387281,-523.835529
186,-521.387281,-523.461972
187,-521.387281,-523.405477
188,-521.387281,-523.867245
189,-521.387281,-524.093557
190,-521.387281,-523.984063
191,-521.387281,-524.478842
192,-521.387281,-523.744572
193,-521.387281,-523.720256
194,-521.387281,-523.611050
195,-521.387281,-523.727934
196,-521.387281,-523.922828
197,-521.387281,-523.788883
198,-521.387281,-523.807393
199,-521.387281,-524.019420
200,-521.387281,-523.840672
