gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,646.464,4877788#0;4894996#0;835443464,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i000,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i000\tripinfo.xml
1,1,5,672.9286666666667,-111677668#0;-120682114#2;-24337240#0;-24337240#6;-782714971#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i001,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i001\tripinfo.xml
1,2,6,614.8673333333334,-40009021#0;-712622895;-803012921#0;-814061747#9;120682114#3;24337240#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i002,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i002\tripinfo.xml
1,3,2,775.5933333333334,-24337240#4;111677668#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i003,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i003\tripinfo.xml
1,4,3,600.406,-120682114#3;-219796126#5;835445203,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i004,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i004\tripinfo.xml
1,5,0,644.456,,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i005,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i005\tripinfo.xml
1,6,1,654.844,-120682114#2,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i006,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i006\tripinfo.xml
1,7,2,644.456,-111677669#3;876057380,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i007,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i007\tripinfo.xml
1,8,3,587.5026666666666,-111677669#3;-111681903#3;-127625589,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i008,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i008\tripinfo.xml
1,9,8,596.1926666666667,-111677668#3;-120682114#2;-24337240#0;-24337240#1;24337240#4;5029410#1;783907721#1;876343448#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i009,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i009\tripinfo.xml
1,10,3,684.6593333333333,-120682114#3;-24337240#6;24337240#5,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i010,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i010\tripinfo.xml
1,11,6,718.9093333333333,-111677668#4;-111677669#3;-280335874#1;-876343452#5;111677669#0;24337240#5,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i011,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i011\tripinfo.xml
1,12,0,644.456,,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i012,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i012\tripinfo.xml
1,13,7,695.222,-111677668#4;-120682114#1;-24337240#7;-876343448#3;111677668#3;24337240#4;876343449#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i013,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i013\tripinfo.xml
1,14,7,706.5393333333334,-111681903#2;-120682114#1;-120682114#2;-782714971#4;219796104#5;782714971#3;782714971#4,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i014,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\heuristic_seed8\g001_i014\tripinfo.xml
