eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,9,644.456000,1,644.456000,5.0000,"-124266855#0,-876057378#0,-876343449#0,219796126#2,36974892,4924947#1,8050332,814061747#0,gneE4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0000
2,9,644.456000,1,644.456000,5.0000,"-124266855#0,-4929432#0,-876343449#0,219796126#2,36974892,4924947#1,8050332,814061747#0,gneE4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0001
3,9,644.456000,1,644.456000,4.9554,"-124266855#0,-4929432#0,-876343449#0,36974892,37551447,4924947#1,8050332,814061747#0,gneE4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0002
4,8,644.456000,1,644.456000,4.9111,"-124266855#0,-4929432#0,-876343449#0,36974892,37551447,4924947#1,8050332,814061747#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0003
5,8,644.456000,1,644.456000,4.8673,"-124266855#0,-4929432#0,-876343449#0,37551447,4924947#1,5197064#3,8050332,814061747#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0004
6,8,644.456000,1,644.456000,4.8239,"-124266855#0,-4929432#0,-774894964,-876343449#0,37551447,4924947#1,5197064#3,814061747#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0005
7,8,644.456000,1,644.456000,4.7808,"-124266855#0,-4929432#0,-5029409#1,-774894964,-876343449#0,37551447,4924947#1,814061747#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0006
8,8,644.456000,1,644.456000,4.7381,"-124266855#0,-231819415#0,-4929432#0,-774894964,-876343449#0,37551447,4924947#1,814061747#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0007
9,7,644.456000,1,644.456000,4.6958,"-124266855#0,-231819415#0,-4929432#0,-774894964,-876343449#0,37551447,4924947#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0008
10,7,644.456000,1,644.456000,4.6539,"-231819415#0,-410942714#0,-4929432#0,-774894964,-876343449#0,37551447,4924947#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0009
11,7,644.456000,1,644.456000,4.6124,"-231819415#0,-410942714#0,-4929432#0,-712622899#0,-774894964,-876343449#0,37551447",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0010
