rank,pred_benefit,att,k,closed_edges,run_dir
0,-514.099480,644.456000,9,"-37651116#3,172249924,248740648#1,255228345,27149242,36851747#1,5029410#1,60942914#0,69421990#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_000
1,-516.969470,644.456000,9,"-205590836#2,-220934956,106652008,172251699#0,219797783#1,248740648#1,6074658#3,69421990#0,876343449#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_001
2,-533.742547,644.456000,9,"-172251698#3,-274763814#1,-784700120,-7924763,106652014,172251697#0,248740648#1,4970251#1,760785104#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_002
3,-534.265506,644.456000,9,"-220934956,-40033611,-627579930#1,106652004,111681905#1,248740648#1,5197053#1,5236305#0,782714971#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_003
4,-536.388812,644.456000,9,"-gneE0,219796118#3,248740648#1,37628709#0,4970255#2,5055277#4,5197063,678743175,876343452#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_004
5,-537.993121,644.456000,9,"-37551339#1,-4950115#2,-61902755,172251695#1,219797792#0,255228345,275267982,6074658#1,7924760#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_005
6,-538.676984,644.456000,9,"-5029409#0,-813586707#1,23359215#0,248740648#1,280335866#4,36971780,474168056#4,61902759#0,771876920",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_006
7,-539.120210,626.228667,9,"-36851802,219822390,240042196#2,248740648#1,25143145#0,26216781#0,5236305#0,6263818#0,62826731",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_007
8,-539.235477,646.922000,9,"-4895001#0,106652014,219796113#4,248740648#1,274763813#3,4877788#4,4970252,58621262#1,61902777#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_008
9,-539.441155,644.456000,9,"-880137010,106652003#0,172249931#3,248740648#1,37627664#6,4894992#0,5197062#0,5197062#3,5236305#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed1\verify_009
