gen,best_pred,mean_pred
1,-523.142593,-605.401369
2,-523.142593,-601.987058
3,-523.142593,-598.771904
4,-523.142593,-606.210215
5,-523.142593,-602.743547
6,-523.142593,-602.503527
7,-523.142593,-602.715554
8,-523.142593,-603.121626
9,-523.142593,-603.637550
10,-523.142593,-605.500489
11,-494.370445,-597.518250
12,-494.370445,-602.682008
13,-494.370445,-602.982446
14,-494.370445,-603.126988
15,-494.370445,-600.601408
16,-494.370445,-601.229008
17,-494.370445,-599.815142
18,-494.370445,-598.682536
19,-494.370445,-602.640248
20,-494.370445,-601.297167
21,-494.370445,-600.923632
22,-494.370445,-600.628629
23,-494.370445,-601.550188
24,-494.370445,-604.047455
25,-494.370445,-597.932764
26,-494.370445,-599.077921
27,-494.370445,-602.802970
28,-494.370445,-600.261947
29,-494.370445,-597.011776
30,-494.370445,-604.318293
31,-494.370445,-601.606319
32,-494.370445,-601.971625
33,-494.370445,-603.065280
34,-494.370445,-601.357529
35,-494.370445,-600.075093
36,-494.370445,-601.208041
37,-494.370445,-601.406319
38,-494.370445,-602.658509
39,-494.370445,-600.355156
40,-494.370445,-598.531582
41,-494.370445,-598.096510
42,-494.370445,-599.065497
43,-494.370445,-601.293875
44,-494.370445,-602.259994
45,-494.370445,-605.866703
46,-494.370445,-602.301424
47,-494.370445,-603.959078
48,-494.370445,-601.672824
49,-494.370445,-601.436755
50,-494.370445,-602.983174
51,-494.370445,-602.511962
52,-494.370445,-598.757984
53,-494.370445,-601.939079
54,-494.370445,-602.608136
55,-494.370445,-601.129218
56,-494.370445,-602.502465
57,-494.370445,-600.870552
58,-494.370445,-601.990876
59,-494.370445,-599.826160
60,-494.370445,-599.546664
61,-494.370445,-604.172609
62,-494.370445,-604.218933
63,-494.370445,-600.106065
64,-494.370445,-602.754925
65,-494.370445,-601.700780
66,-494.370445,-602.002412
67,-494.370445,-603.296363
68,-494.370445,-601.532711
69,-494.370445,-603.572133
70,-494.370445,-599.654990
71,-494.370445,-602.742291
72,-494.370445,-599.997576
73,-494.370445,-600.328495
74,-494.370445,-602.318200
75,-494.370445,-601.295133
76,-494.370445,-601.357302
77,-494.370445,-600.209156
78,-494.370445,-602.830522
79,-494.370445,-604.137071
80,-494.370445,-604.607821
