gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,295.686,E1;E14;E16,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i000,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i000\tripinfo.xml
1,1,4,262.688,E1;E14;E16;E21,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i001,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i001\tripinfo.xml
1,2,2,281.967,E14;E42,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i002,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i002\tripinfo.xml
1,3,2,331.957,E1;E7,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i003,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i003\tripinfo.xml
1,4,1,352.346,E29,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i004,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i004\tripinfo.xml
1,5,1,315.812,E19,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i005,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i005\tripinfo.xml
1,6,0,315.812,,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i006,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i006\tripinfo.xml
1,7,2,265.784,E27;E42,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i007,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i007\tripinfo.xml
1,8,4,290.004,E16;E19;E29;E42,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i008,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i008\tripinfo.xml
1,9,3,311.633,E16;E39;E6,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i009,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_seed9\g001_i009\tripinfo.xml
