eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,3,311.104000,1,311.104000,5.0000,"E19,E29,E34",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0000
2,3,319.501000,0,311.104000,5.0000,"E1,E19,E34",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0001
3,2,345.623000,0,311.104000,4.9554,"E29,E34",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0002
4,2,315.812000,1,311.104000,4.9111,"E19,E29",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0003
5,3,321.376000,0,311.104000,4.8673,"E19,E22,E29",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0004
6,3,308.665000,1,308.665000,4.8239,"E19,E29,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0005
7,3,364.686000,0,308.665000,4.7808,"E22,E29,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0006
8,3,309.929000,1,308.665000,4.7381,"E19,E29,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0007
9,4,307.378000,1,307.378000,4.6958,"E16,E19,E29,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0008
10,4,331.021000,0,307.378000,4.6539,"E16,E26,E29,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0009
11,4,300.930000,1,300.930000,4.5712,"E16,E19,E39,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0010
12,4,309.121000,0,300.930000,4.5304,"E11,E16,E39,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0011
13,4,299.301000,1,299.301000,4.4900,"E19,E39,E4,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0012
14,3,298.623000,1,298.623000,4.4499,"E19,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0013
15,3,294.296000,1,294.296000,4.4102,"E10,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0014
16,4,294.296000,1,294.296000,4.3708,"E10,E19,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0015
17,4,298.825000,0,294.296000,4.3318,"E10,E20,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0016
18,4,330.021000,0,294.296000,4.2931,"E19,E34,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0017
19,4,290.268000,1,290.268000,4.2548,"E11,E19,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0018
20,3,290.268000,1,290.268000,4.2168,"E11,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0019
21,4,299.030000,0,290.268000,4.1792,"E11,E15,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0020
22,3,309.178000,0,290.268000,4.1419,"E21,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0021
23,3,305.315000,0,290.268000,4.1049,"E11,E14,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0022
24,2,298.623000,0,290.268000,4.0683,"E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0023
25,3,314.447000,0,290.268000,3.9960,"E26,E39,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0024
26,1,308.665000,0,290.268000,3.9603,E4,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0025
27,2,310.708000,0,290.268000,3.8899,"E34,E39",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0026
28,2,304.044000,0,290.268000,3.8552,"E10,E39",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0027
29,2,303.713000,1,290.268000,3.8208,"E1,E39",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0028
30,2,294.052000,1,290.268000,3.7867,"E1,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0029
31,2,295.686000,1,290.268000,3.7529,"E1,E16",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0030
32,2,293.617000,1,290.268000,3.7194,"E16,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0031
33,2,307.233000,0,290.268000,3.6862,"E16,E36",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0032
34,2,297.978000,0,290.268000,3.6533,"E14,E16",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0033
35,2,286.936000,1,286.936000,3.6207,"E16,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0034
36,1,297.978000,0,286.936000,3.5883,E16,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0035
37,2,304.792000,0,286.936000,3.5563,"E16,E22",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0036
38,2,360.753000,0,286.936000,3.5246,"E29,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0037
39,1,310.273000,0,286.936000,3.4931,E37,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0038
40,2,305.372000,0,286.936000,3.4619,"E37,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0039
41,3,285.421000,1,285.421000,3.4004,"E16,E37,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0040
42,3,289.804000,0,285.421000,3.3700,"E20,E37,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0041
43,3,309.836000,0,285.421000,3.3400,"E19,E37,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0042
44,3,307.233000,0,285.421000,3.3101,"E16,E36,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0043
45,3,286.936000,0,285.421000,3.2806,"E16,E3,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0044
46,4,315.519000,0,285.421000,3.2513,"E16,E34,E37,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0045
47,3,338.197000,0,285.421000,3.1935,"E22,E3,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0046
48,3,298.173000,0,285.421000,3.1650,"E16,E23,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0047
49,2,297.978000,0,285.421000,3.1368,"E16,E3",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0048
50,3,306.502000,0,285.421000,3.1088,"E16,E3,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0049
51,2,301.901000,0,285.421000,3.0810,"E3,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0050
52,3,294.705000,0,285.421000,3.0535,"E16,E3,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0051
53,3,313.947000,0,285.421000,2.9725,"E16,E26,E37",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0052
54,3,293.005000,1,285.421000,2.9459,"E16,E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0053
55,3,305.930000,0,285.421000,2.9197,"E10,E16,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0054
56,4,298.922000,0,285.421000,2.8936,"E16,E26,E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0055
57,2,306.502000,0,285.421000,2.8678,"E16,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0056
58,3,298.740000,0,285.421000,2.8422,"E11,E16,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0057
59,2,312.006000,0,285.421000,2.8168,"E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0058
60,4,293.005000,1,285.421000,2.7917,"E14,E16,E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0059
61,4,288.511000,1,285.421000,2.7667,"E16,E25,E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0060
62,4,297.865000,1,285.421000,2.7420,"E15,E25,E45,E8",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0061
63,3,303.398000,1,285.421000,2.7176,"E15,E25,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0062
64,3,307.131000,0,285.421000,2.6933,"E25,E34,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0063
65,3,292.959000,1,285.421000,2.6693,"E15,E42,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0064
66,2,280.652000,1,280.652000,2.6454,"E42,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0065
67,3,294.926000,0,280.652000,2.6218,"E41,E42,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0066
68,2,297.907000,0,280.652000,2.5984,"E33,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0067
69,2,293.850000,0,280.652000,2.5752,"E23,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0068
70,2,300.400000,0,280.652000,2.5522,"E17,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0069
71,2,321.066000,0,280.652000,2.5295,"E34,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0070
72,3,299.862000,0,280.652000,2.5069,"E42,E45,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0071
73,2,319.137000,0,280.652000,2.4845,"E26,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0072
74,1,309.648000,0,280.652000,2.4623,E45,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0073
75,2,291.707000,0,280.652000,2.4403,"E10,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0074
76,3,306.894000,0,280.652000,2.4186,"E13,E42,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0075
77,3,314.938000,0,280.652000,2.3970,"E31,E42,E45",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0076
78,2,283.428000,1,280.652000,2.3756,"E13,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0077
79,2,303.023000,0,280.652000,2.3544,"E13,E23",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0078
80,3,281.862000,1,280.652000,2.3334,"E1,E13,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0079
81,3,283.428000,1,280.652000,2.3125,"E13,E19,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0080
82,3,309.292000,0,280.652000,2.2919,"E13,E19,E39",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0081
83,3,277.621000,1,277.621000,2.2512,"E13,E39,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0082
84,3,288.337000,0,277.621000,2.2311,"E13,E16,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0083
85,4,343.445000,0,277.621000,2.2111,"E13,E39,E42,E43",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0084
86,3,266.202000,1,266.202000,2.1914,"E13,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0085
87,3,304.193000,0,266.202000,2.1718,"E32,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0086
88,2,288.465000,0,266.202000,2.1525,"E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0087
89,3,281.554000,0,266.202000,2.1332,"E13,E20,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0088
90,4,283.428000,0,266.202000,2.1142,"E13,E33,E37,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0089
91,3,306.461000,0,266.202000,2.0581,"E13,E33,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0090
92,3,310.501000,0,266.202000,2.0397,"E13,E30,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0091
93,3,287.971000,0,266.202000,2.0035,"E33,E34,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0092
94,3,292.545000,0,266.202000,1.9329,"E13,E35,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0093
95,4,287.916000,0,266.202000,1.9156,"E13,E23,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0094
96,3,311.245000,0,266.202000,1.8985,"E22,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0095
97,3,285.648000,0,266.202000,1.8816,"E13,E3,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0096
98,4,296.438000,0,266.202000,1.8648,"E13,E16,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0097
99,3,318.888000,0,266.202000,1.8482,"E13,E42,E7",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0098
100,3,293.271000,0,266.202000,1.8317,"E13,E23,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0099
101,3,309.926000,0,266.202000,1.8153,"E13,E14,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0100
102,3,302.584000,0,266.202000,1.7991,"E10,E13,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0101
103,3,319.035000,0,266.202000,1.7830,"E33,E42,E43",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0102
104,3,299.643000,0,266.202000,1.7514,"E33,E42,E6",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0103
105,3,288.451000,0,266.202000,1.7049,"E13,E42,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0104
106,4,324.693000,0,266.202000,1.6897,"E13,E33,E42,E43",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0105
107,3,282.405000,0,266.202000,1.6746,"E17,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0106
108,4,297.878000,0,266.202000,1.6448,"E13,E33,E42,E7",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0107
109,3,271.013000,0,266.202000,1.6012,"E10,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0108
110,2,291.318000,0,266.202000,1.5869,"E13,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0109
111,3,272.531000,0,266.202000,1.5587,"E33,E38,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0110
112,3,308.591000,0,266.202000,1.5447,"E13,E42,E43",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0111
113,3,306.214000,0,266.202000,1.4250,"E13,E33,E35",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0112
114,3,325.785000,0,266.202000,1.3872,"E13,E33,E43",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0113
115,3,291.537000,0,266.202000,1.3748,"E30,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0114
116,4,300.602000,0,266.202000,1.3625,"E13,E3,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\sa_seed9\e0115
