rank,pred_benefit,att,k,closed_edges,run_dir
0,-273.137751,270.627000,2,"E21,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_000
1,-277.099717,264.294000,3,"E16,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_001
2,-277.337613,237.221000,4,"E20,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_002
3,-277.484773,280.385000,1,E27,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_003
4,-277.967854,272.142000,3,"E21,E27,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_004
5,-278.826089,243.832000,4,"E21,E23,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_005
6,-279.222665,237.496000,4,"E16,E20,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_006
7,-279.240847,271.338000,3,"E21,E25,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_007
8,-279.488240,223.893000,4,"E1,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_008
9,-280.054953,250.199000,4,"E1,E20,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed3\verify_009
