gen,best_pred,mean_pred
1,-290.761577,-304.167380
2,-290.078862,-300.558400
3,-285.784153,-298.903594
4,-279.222665,-298.770302
5,-279.222665,-299.067700
6,-279.222665,-299.945414
7,-279.222665,-299.016068
8,-279.222665,-299.691545
9,-279.222665,-299.574729
10,-279.222665,-297.645902
11,-279.222665,-297.720610
12,-279.222665,-297.723969
13,-279.222665,-300.030768
14,-279.222665,-297.305569
15,-279.222665,-297.598218
16,-279.222665,-299.789856
17,-279.222665,-298.654958
18,-279.222665,-298.368045
19,-279.222665,-300.174298
20,-279.222665,-301.342184
21,-279.222665,-297.059311
22,-279.222665,-295.917131
23,-279.222665,-295.093200
24,-279.222665,-298.758043
25,-279.222665,-299.348936
26,-279.222665,-298.204799
27,-279.222665,-298.519304
28,-279.222665,-299.057922
29,-279.222665,-297.145934
30,-279.222665,-300.121169
31,-279.222665,-297.280143
32,-279.222665,-298.800844
33,-279.222665,-300.316807
34,-279.222665,-298.317036
35,-279.222665,-297.648637
36,-279.222665,-299.253743
37,-279.222665,-297.927244
38,-279.222665,-299.423972
39,-279.222665,-302.288749
40,-279.222665,-296.851671
41,-279.222665,-297.256699
42,-279.222665,-296.405863
43,-279.222665,-297.188497
44,-279.222665,-297.913440
45,-279.222665,-297.331400
46,-279.222665,-300.431844
47,-279.222665,-297.691135
48,-279.222665,-296.082789
49,-279.222665,-296.522177
50,-279.222665,-297.536003
51,-279.222665,-298.290243
52,-279.222665,-296.617147
53,-279.222665,-298.065125
54,-279.222665,-298.310130
55,-279.222665,-296.422475
56,-279.222665,-298.390485
57,-279.222665,-297.045088
58,-279.222665,-297.276511
59,-279.222665,-296.983808
60,-279.222665,-296.995724
61,-279.222665,-297.186645
62,-279.222665,-298.840473
63,-279.222665,-297.756071
64,-279.222665,-298.673100
65,-279.222665,-296.696094
66,-279.222665,-295.724869
67,-279.222665,-298.531632
68,-279.222665,-296.164373
69,-279.222665,-294.387439
70,-279.222665,-295.638113
71,-279.222665,-296.132330
72,-279.222665,-298.095723
73,-279.222665,-294.885511
74,-279.222665,-298.778088
75,-279.222665,-298.198083
76,-279.222665,-296.756681
77,-279.222665,-297.052552
78,-279.222665,-297.089350
79,-279.222665,-297.945398
80,-279.222665,-298.163703
81,-277.745098,-297.028336
82,-277.745098,-297.134346
83,-277.745098,-295.994655
84,-277.745098,-297.996428
85,-277.745098,-299.733124
86,-270.216250,-300.043489
87,-270.216250,-301.706498
88,-270.216250,-301.184986
89,-270.216250,-296.531493
90,-270.216250,-297.158953
91,-270.216250,-298.921864
92,-270.216250,-299.157314
