edge_id,score
E1,0.0523809524
E10,0.0428571429
E25,0.0190476190
E16,0.0785714286
E24,0.0333333333
E5,0.0095238095
E30,0.0261904762
E41,0.0166666667
E7,0.0428571429
E8,0.0357142857
E11,0.0285714286
E13,0.0404761905
E32,0.0333333333
E36,0.0190476190
E12,0.0357142857
E18,0.0142857143
E39,0.0285714286
E14,0.0738095238
E15,0.0047619048
E3,0.0047619048
E35,0.0285714286
E4,0.0119047619
E17,0.0142857143
E21,0.0333333333
E22,0.0047619048
E6,0.0380952381
E19,0.0452380952
E20,0.0238095238
E29,0.0476190476
E23,0.0214285714
E34,0.0071428571
E26,0.0166666667
E42,0.0571428571
E27,0.0166666667
E43,0.0023809524
E28,0.0476190476
E31,0.0047619048
E40,0.0476190476
E38,0.0071428571
E45,0.0142857143
E33,0.0166666667
E37,0.0023809524
