edge_id,score
-E11,0.0253623188
-E12,0.0434782609
E16,0.0652173913
E26,0.0706521739
E11,0.0253623188
E110,0.0253623188
E24,0.0307971014
E52,0.0307971014
E57,0.0670289855
-E51,0.0108695652
-E7,0.0833333333
-E9,0.0362318841
E12,0.0434782609
E15,0.0253623188
E46,0.0579710145
-E13,0.0253623188
E14,0.0163043478
E19,0.0217391304
E50,0.0090579710
E51,0.0108695652
E64,0.0289855072
-E38,0.0307971014
-E6,0.0670289855
-E63,0.0434782609
E13,0.0289855072
E45,0.0561594203
E7,0.0851449275
-E14,0.0163043478
-E15,0.0235507246
-E17,0.0543478261
E21,0.0471014493
-E16,0.0652173913
-E46,0.0579710145
E17,0.0543478261
E22,0.0271739130
E27,0.0217391304
E47,0.0326086957
-E19,0.0217391304
E20,0.0326086957
E31,0.0163043478
-E20,0.0326086957
-E21,0.0452898551
-E50,0.0108695652
E23,0.0217391304
-E22,0.0271739130
-E23,0.0217391304
E29,0.0144927536
-E25,0.0434782609
-E26,0.0706521739
E28,0.0108695652
E25,0.0434782609
E44,0.0362318841
E53,0.0072463768
E56,0.0307971014
-E27,0.0217391304
-E28,0.0108695652
E30,0.0090579710
-E29,0.0144927536
-E30,0.0090579710
-E47,0.0326086957
-E31,0.0163043478
E32,0.0253623188
-E32,0.0253623188
-E64,0.0235507246
E33,0.0199275362
E63,0.0398550725
-E35,0.0235507246
E59,0.0362318841
E6,0.0815217391
E8,0.0253623188
-E58,0.0054347826
E35,0.0362318841
E39,0.0090579710
E34,0.0163043478
E38,0.0235507246
E62,0.0108695652
-E39,0.0072463768
E40,0.0326086957
E41,0.0090579710
-E40,0.0307971014
-E45,0.0579710145
-E8,0.0253623188
E10,0.0670289855
E9,0.0362318841
-E41,0.0090579710
-E52,0.0307971014
-E53,0.0072463768
E43,0.0054347826
-E43,0.0054347826
-E44,0.0362318841
E49,0.0380434783
E58,0.0036231884
