edge_id,score
-106651991#0,0.0014531422
-106652009#1,0.0027459042
106651991#1,0.0027459042
106652009#2,0.0036158456
106651991#0,0.0013753821
-106651991#1,0.0060895894
106652009#1,0.0060895894
-4877788#4,0.0350382240
106651991#2,0.0014531422
4877788#5,0.0275975525
-106651991#2,0.0013753821
-106651993,0.0007168511
-106652025#1,0.0041893265
106652025#2,0.0022647635
-106651999#1,0.0043351267
106651993,0.0014652923
106651999#2,0.0066412002
-106651997#0,0.0056376087
-106651997#2,0.0042209165
106651997#1,0.0042209165
-106652016,0.0349142938
-6263816#3,0.0081040625
106651997#0,0.0056448987
-106651997#1,0.0042913866
106651997#2,0.0042913866
-652756923#1,0.0033898552
-106651999#0,0.0057591089
-106652014,0.0014604322
106651999#1,0.0089011037
-4950117#0,0.0098317951
106651999#0,0.0111512872
4950117#1,0.0081575226
-106651999#2,0.0029014245
-106652006,0.0050373978
-220934962,0.0014531422
106651999#3,0.0000000000
-106651999#3,0.0000000000
106652003#0,0.0061430495
106652025#0,0.0008310613
-106652002,0.0008334913
106652003#1,0.0052317981
-4950117#2,0.0072365511
106652002,0.0000000000
106652007#0,0.0089642838
106652020,0.0014774423
-106652025#0,0.0070518709
106652006,0.0014531422
106652025#1,0.0014750123
-106652007#0,0.0063447398
106652007#1,0.0084078129
37651116#0,0.0000000000
-106652007#1,0.0058660290
-106652015,0.0078780721
106652007#2,0.0000000000
-106652007#2,0.0000000000
-37651116#1,0.0057518189
37651116#2,0.0083932329
-106652009#2,0.0004276807
106652017,0.0031104048
-106652013#0,0.0000000000
-106652024,0.0027459042
106652013#1,0.0014531422
-4911107#4,0.0016329625
106652013#0,0.0000000000
4911107#5,0.0063641798
-106652013#1,0.0013753821
-106652025#2,0.0043083966
106652014,0.0007119911
106652025#3,0.0030472247
-37651116#0,0.0000000000
106652015,0.0054140483
37651116#1,0.0081380825
-6263818#1,0.0016062325
106652016,0.0028115143
6263818#2,0.0350114939
-4911107#2,0.0059583692
106652024,0.0029014245
4911107#3,0.0074382415
-106652025#3,0.0044201768
-4950117#1,0.0033655552
4950117#2,0.0105778063
-111677668#0,0.1015085463
111677668#3,0.0827610675
153134060#1,0.0043667167
248740648#1,0.0014555722
6074658#3,0.0043667167
-835445203,0.1063807038
111677668#0,0.0898979884
7365262,0.0051370279
-111677668#3,0.0963715184
111677668#4,0.0818911261
-111677668#4,0.0955793372
-26943536#1,0.0029014245
111677669#0,0.0719256808
111677671#0,0.0085050131
-111677669#0,0.0916403011
111677669#1,0.0712671498
-111677669#1,0.0885833564
-231819500,0.0029014245
111677669#2,0.0688128460
-111677669#2,0.0861266226
111677669#3,0.0681543150
-111677669#3,0.0841899097
111677669#4,0.0674860639
-111677669#4,0.0799981532
111677669#5,0.0668153829
-111677669#5,0.0791695219
760785104#0,0.0029014245
7924772,0.0043983068
876057376,0.0624097861
-111677671#0,0.0027118842
-876057378#6,0.0056716287
111677671#1,0.0014531422
-111677671#1,0.0013753821
-111681903#0,0.0911883204
111681903#1,0.0829627578
219796118#0,0.0000558901
-40009020#7,0.0340953825
-782714971#4,0.0752134758
111681903#0,0.0750652456
498033359#0,0.0150295731
-111681903#1,0.0916670312
111681903#2,0.0833296883
498037591,0.0101233956
-111681903#2,0.1022351174
106652011,0.0105778063
111681903#3,0.0794538324
-111681903#3,0.1090148279
-120682116#9,0.0372179373
-778869028,0.0014531422
120682114#1,0.0995280933
-111681905#0,0.0008772314
111681905#1,0.0013632321
37551477,0.0014555722
-124266855#7,0.0016426825
111681905#0,0.0002818804
-111681905#1,0.0034919154
111681905#2,0.0057566789
-111681905#2,0.0013000520
-74277990,0.0078659221
gneE2,0.0043448467
-120682113#0,0.0070567309
120682113#1,0.0121232887
4877785,0.0005151608
-4992725,0.0016912826
-502325084#3,0.0400950617
120682113#0,0.0116980380
782714966#0,0.0299765262
-120682114#1,0.1334242155
120682114#2,0.1006240250
-120682114#2,0.1280879273
120682114#3,0.0946923858
4950117#0,0.0200937009
5197061#0,0.0063738998
-120682114#3,0.1312226321
24337240#0,0.0943254553
-120682115,0.0068647606
-4877788#2,0.0194060099
4877788#4,0.0289705046
4894997#0,0.0295682855
-4894992#3,0.0109909069
-502325083,0.0076350718
120682115,0.0129057499
627579930#0,0.0123735791
-120682116#0,0.0432030365
-220934956,0.0000000000
120682116#1,0.0232356958
-4877788#6,0.0366711865
-4894996#3,0.0096398248
120682116#0,0.0233644860
6263816#0,0.0474312430
-120682116#1,0.0431520065
120682116#2,0.0297821259
-120682116#2,0.0418859745
120682116#3,0.0300202662
-120682116#3,0.0402165619
-4877786#4,0.0088597936
120682116#4,0.0328876706
-120682116#4,0.0391449303
120682116#5,0.0341585626
-120682116#5,0.0378424483
-37651116#3,0.0080141523
120682116#6,0.0297651158
-120682116#6,0.0335340516
106651998#0,0.0058028489
120682116#7,0.0285306739
-120682116#7,0.0381802188
120682116#9,0.0330383309
4911107#0,0.0037008957
-124266855#0,0.0063398798
124266855#1,0.0070154208
-5055277#6,0.0066436302
124266855#0,0.0074017914
-124266855#1,0.0060312693
-220487593,0.0014531422
124266855#2,0.0062280996
-124266855#2,0.0053994683
124266855#5,0.0065561501
-124266855#5,0.0058052789
-26947645#3,0.0081040625
124266855#6,0.0025685140
-124266855#6,0.0030083446
124266855#7,0.0011250917
-127625589,0.0013753821
127625589,0.0014531422
5029409#0,0.0027459042
-127837502,0.0351208441
5029410#1,0.0351208441
127837502,0.0000024300
5029410#2,0.0350406540
-172249924,0.0013753821
-172249928#0,0.0028965645
172249924,0.0014531422
172249926#1,0.0014531422
172249928#1,0.0068234505
-172249925,0.0000000000
-172249931#1,0.0013705221
172249931#2,0.0000048600
-172249927,0.0015138923
-172249930#0,0.0033534052
172249930#1,0.0010473316
-172249926#1,0.0013753821
-172249931#0,0.0036255656
172249927,0.0024664538
172249931#1,0.0004009506
-172249931#2,0.0000048600
172249928#0,0.0027410442
172249931#3,0.0014531422
-172249928#1,0.0072122511
172249928#2,0.0085779132
172249930#0,0.0035259354
-172249928#2,0.0092170042
-835443463#0,0.0285112339
831160282,0.0000000000
835443463#2,0.0354537546
-4929432#0,0.0182396081
172249931#0,0.0036863157
4929432#1,0.0370769971
-172249931#3,0.0013753821
-172251688,0.0013753821
-172251698#1,0.0103566759
172251688,0.0014531422
172251698#2,0.0066266202
-172251689,0.0013753821
-172251698#0,0.0130248201
172251689,0.0014531422
172251698#1,0.0094697246
-172251690,0.0007751712
-172251698#2,0.0076690918
172251698#3,0.0044323268
-172251692#0,0.0005103008
172251690,0.0012004218
172251692#1,0.0013510821
-172251691,0.0000000000
-23359215#0,0.0139968216
23359215#1,0.0307030973
-280335874#0,0.0000000000
172251691,0.0000000000
280335871,0.0020071831
280335874#1,0.0016402525
-36970994#1,0.0303726168
172251692#0,0.0020193331
36970994#2,0.0157731543
-172251692#1,0.0003450605
-172251699#0,0.0014531422
172251699#1,0.0024008437
-172251694#0,0.0015211823
172251694#1,0.0012781820
36269567,0.0014531422
-25143145#1,0.0041941865
172251694#0,0.0029451645
25143145#2,0.0014531422
-172251694#1,0.0000097200
280335866#2,0.0120017885
-172251695#0,0.0028722644
-280335872,0.0009136814
172251695#1,0.0018297928
-240042195#1,0.0208202721
172251695#0,0.0028503944
240042195#2,0.0025660840
-172251697#0,0.0013753821
172251697#1,0.0013753821
-172251697#1,0.0014531422
172251697#0,0.0014531422
172251697#2,0.0027459042
-172251697#2,0.0029014245
-96687079#0,0.0003304805
96687079#1,0.0113092374
-36970994#0,0.0389894100
172251698#0,0.0122933889
36970994#1,0.0158144644
-172251698#3,0.0051273079
-172251699#1,0.0015503424
172251699#2,0.0014531422
172251699#0,0.0013753821
-172251699#2,0.0013753821
-205590836#0,0.0067797104
107864729#1,0.0072292611
205590836#2,0.0072292611
37650111#0,0.0000364501
-37628709#0,0.0121816088
37628709#1,0.0086167933
5197045#0,0.0043083966
-205590836#2,0.0054626484
-37548821#1,0.0029014245
107864729#2,0.0014555722
255274250,0.0014531422
-219796100#0,0.0045513970
219796100#1,0.0216610534
219796113#4,0.0036814557
-219796126#1,0.0556470857
219796100#0,0.0011858418
219796126#2,0.0430450863
-219796100#1,0.0032975151
219796100#2,0.0025515039
219796104#0,0.0180087577
-219796100#2,0.0022744835
-37627664#2,0.0000000000
219796110,0.0003863706
37627664#3,0.0011688318
-219796102#0,0.0000072900
219796102#1,0.0005418908
219796113#0,0.0008262013
-219796118#2,0.0055817186
219796102#0,0.0007630212
219796118#3,0.0000000000
219796131#1,0.0078805021
-219796102#1,0.0006901211
-219796118#0,0.0075524516
-498037590,0.0004981508
219796118#1,0.0086192233
-219796106#0,0.0005467508
219796106#1,0.0060045392
219796113#5,0.0037227657
219796104#5,0.0146723626
219796106#0,0.0054091883
-219796106#1,0.0012611719
-219796126#2,0.0515841194
219796126#3,0.0430134962
-219796118#1,0.0062961397
-219796129,0.0014531422
219796118#2,0.0077492819
-219796118#3,0.0000000000
-498033359#3,0.0125388193
498033359#4,0.0104149960
-219796126#0,0.0000000000
-37627664#0,0.0594427515
219796126#1,0.0438202575
37627664#1,0.0254810192
-498033359#0,0.0114744777
219796126#0,0.0000000000
498033359#1,0.0139846715
-219796126#3,0.0468869222
-5197053#2,0.0068769106
219796126#4,0.0462769913
5197053#3,0.0145678724
-219796126#4,0.0454702300
219796126#5,0.0454337800
-219796126#5,0.0433342567
219796126#6,0.0444204684
231818115#0,0.0002940305
-219796126#6,0.0426927357
-5055277#0,0.0474798431
5055277#1,0.0050568378
219796129,0.0013753821
-219796131#1,0.0065464301
-498033359#2,0.0144828223
498033359#3,0.0117514981
-219797779,0.0002940305
4894991#3,0.0101865757
219797779,0.0028455344
-219797784#0,0.0147865728
219797784#1,0.0010400416
-219797787#0,0.0223584644
219797784#0,0.0008043312
219797787#1,0.0031347048
-219797784#1,0.0011032217
4894991#2,0.0077128319
-40009020#3,0.0354075845
219797787#0,0.0042913866
40009020#4,0.0302292466
4877786#0,0.0066169002
-219797787#1,0.0011566818
4894991#1,0.0078537721
-219797798#0,0.0044080268
219797798#1,0.0080287324
219797801#2,0.0000000000
-40009020#6,0.0360223755
219797798#0,0.0066898003
40009020#7,0.0258430898
-219797798#1,0.0035721055
219797780,0.0004519807
219797798#2,0.0072535612
-219797798#2,0.0033266751
219797795,0.0008262013
219797798#3,0.0066120402
-219797798#3,0.0035891155
-4970256#0,0.0325304601
4970256#1,0.0291284549
-219797807#0,0.0014531422
219797806,0.0056011586
219797807#1,0.0007435811
219797807#0,0.0013753821
-219797807#1,0.0065002600
219797796#0,0.0000291600
219797807#2,0.0010910717
-219797807#2,0.0069546707
219797792#0,0.0031201248
219797807#3,0.0055306885
-219797807#3,0.0024591638
-4970256#1,0.0261419803
219797783#0,0.0142495419
4970256#3,0.0159967146
-219798593#0,0.0014531422
-4935286#0,0.0362410758
474168056#4,0.0000000000
4935286#1,0.0378521683
219798593#0,0.0013753821
-219822390,0.0014531422
-6272848#1,0.0000000000
6272848#2,0.0027459042
219822390,0.0013753821
-219822415#0,0.0000680401
219822415#1,0.0014531422
474166985#3,0.0068769106
219822415#0,0.0070348608
783647325#1,0.0143759021
-219822415#1,0.0013753821
220487593,0.0013753821
-220736154#0,0.0014531422
220736154#1,0.0041115663
768058866,0.0014531422
220736154#0,0.0013753821
-220736154#1,0.0043448467
-4894996#0,0.0018200728
4894996#1,0.0150004131
-220934942,0.0014531422
-26947645#2,0.0094745846
26947645#3,0.0069911208
220934942,0.0013753821
-4894996#2,0.0101185356
220934956,0.0000000000
4894996#3,0.0313251782
-220934958,0.0014531422
-26947645#0,0.0110978271
26947645#2,0.0085171631
220934958,0.0013753821
220934962,0.0013753821
-231819410#0,0.0000000000
231819410#1,0.0004325407
231819413,0.0129446299
-231819410#2,0.0139628015
231819410#0,0.0000000000
231819410#3,0.0013510821
-231819410#1,0.0134549307
-831160282,0.0000000000
231819410#2,0.0008626513
-231819410#3,0.0145289924
-4929432#1,0.0209587823
4929432#2,0.0241153571
-231819415#0,0.0129349099
231819415#1,0.0036814557
-25142441#6,0.0043667167
231819415#0,0.0002940305
25142441#7,0.0161255048
-231819415#1,0.0032197550
-274763813#2,0.0113578375
274763813#3,0.0144172122
-231819501#0,0.0014531422
231819501#1,0.0014531422
